drink,ingredient_number,ingredient,measure,category
Angelica Liqueur,7,marjoram leaves,1 tblsp fresh chopped,other
Angelica Liqueur,8,vodka,1.5 cup,vodka
Angelica Liqueur,9,sugar,1/2 cup granulated,other
Apello,1,orange juice,4 cl,juice
Apello,2,grapefruit juice,3 cl,juice
Apello,3,apple juice,1 cl,juice
Apello,4,maraschino cherry,1,other
Apple Berry Smoothie,1,berries,1 cup,other
Apple Berry Smoothie,2,apple,2,other
Apple Cider Punch #1,1,apple cider,4 qt,other
Apple Cider Punch #1,2,brown sugar,1 cup,other
Apple Cider Punch #1,3,lemonade,6 oz frozen,other
Apple Cider Punch #1,4,orange juice,6 oz frozen,juice
Apple Cider Punch #1,5,cloves,6 whole,other
Apple Cider Punch #1,6,allspice,6 whole,other
Apple Cider Punch #1,7,nutmeg,1 tsp ground,other
Apple Cider Punch #1,8,cinnamon,3 sticks,other
Apple Grande,1,tequila,3 oz,other
Apple Grande,2,apple cider,12 oz,other
Apple Karate,1,apple juice,2 cups,juice
Apple Karate,2,carrot,1 large,other
Apple Pie with A Crust,1,apple juice,3 parts,juice
Apple Pie with A Crust,2,malibu rum,1 part,rum
Apple Pie with A Crust,3,cinnamon,3 dashes,other
Apple Slammer,1,7-up,1 part,other
Apple Slammer,2,apple schnapps,1 part,schnapps
Applecar,1,applejack,1 oz,other
Applecar,2,triple sec,1 oz,other
Applecar,3,lemon juice,1 oz,juice
Applejack,1,jack daniels,1 oz,other
Applejack,2,melon liqueur,1/2 oz,liqueur
Applejack,3,sour mix,2 oz,other
Apricot Lady,1,light rum,1 1/2 oz,rum
Apricot Lady,2,apricot brandy,1 oz,brandy
Apricot Lady,3,triple sec,1 tsp,other
Apricot Lady,4,lemon juice,1/2 oz,juice
Apricot Lady,5,egg white,1,other
Apricot Lady,6,orange,1,other
Apricot punch,1,apricot brandy,1 qt,brandy
Apricot punch,2,champagne,4 fifth,other
Apricot punch,3,vodka,1 fifth,vodka
Apricot punch,4,7-up,4 L,other
Apricot punch,5,orange juice,1/2 gal,juice
Archbishop,1,gin,2 oz,other
Archbishop,2,wine,1 oz Green Ginger,other
Archbishop,3,benedictine,1 tsp,other
Archbishop,4,lime,1,other
Arctic Fish,1,vodka,1/3 part,vodka
Arctic Fish,2,grape soda,1/3 part,other
Arctic Fish,3,orange juice,1/3 part,juice
Arctic Fish,4,ice,lots,other
Arctic Fish,5,candy,1 dash,other
Arctic Mouthwash,1,maui,5 oz blue,other
Arctic Mouthwash,2,mountain dew,5 oz,other
Arctic Mouthwash,3,ice,"cubes
",other
Arise My Love,1,champagne,Chilled,other
Arise My Love,2,green creme de menthe,1 tsp,other
Arizona Antifreeze,1,vodka,1/3 oz,vodka
Arizona Antifreeze,2,melon liqueur,1/3 oz,liqueur
Arizona Antifreeze,3,sweet and sour,1/3 oz,other
Arizona Stingers,1,absolut vodka,2 shots,vodka
Arizona Stingers,2,iced tea,12 oz lemon,other
Arizona Twister,1,vodka,1 shot,vodka
Arizona Twister,2,malibu rum,1 shot,rum
Arizona Twister,3,gold tequila,1 shot,other
Arizona Twister,4,orange juice,1 splash,juice
Arizona Twister,5,pineapple juice,1 splash,juice
Arizona Twister,6,cream of coconut,1 splash,cream
Arizona Twister,7,grenadine,1 dash,other
Arizona Twister,8,ice,crushed,other
Arizona Twister,9,pineapple,1 wedge,other
Army special,1,vodka,30 ml,vodka
Army special,2,gin,30 ml,other
Army special,3,lime juice cordial,45 ml,juice
Army special,4,ice,1/2 glass crushed,other
Arthur Tompkins,1,gin,2 oz,other
Arthur Tompkins,2,grand marnier,1/2 oz,other
Arthur Tompkins,3,lemon juice,2 tsp,juice
Arthur Tompkins,4,lemon peel,1 twist of,other
Artillery,1,sweet vermouth,1 1/2 tsp,other
Artillery,2,gin,1 1/2 oz,other
Artillery,3,bitters,2 dashes,other
Artillery Punch,1,tea,1 quart black,other
Artillery Punch,2,rye whiskey,1 quart,other
Artillery Punch,3,red wine,1 fifth,other
Artillery Punch,4,rum,1 pint Jamaican,rum
Artillery Punch,5,brandy,1/2 pint,brandy
Artillery Punch,6,benedictine,1 1/2 oz,other
Artillery Punch,7,orange juice,1 pint,juice
Artillery Punch,8,lemon juice,1/2 pint,juice
Atlantic Sun,1,vodka,2 cl Smirnoff,vodka
Atlantic Sun,2,southern comfort,2 cl,other
Atlantic Sun,3,passion fruit syrup,2 cl,syrup
Atlantic Sun,4,sweet and sour,6 cl,other
Atlantic Sun,5,club soda,1 dash,other
Atomic Lokade,1,lemonade,5 oz,other
Atomic Lokade,2,vodka,1 oz,vodka
Atomic Lokade,3,blue curacao,1/2 oz,other
Atomic Lokade,4,triple sec,1/2 oz,other
Atomic Lokade,5,sugar,"
",other
Auburn Headbanger,1,jägermeister,1 oz,other
Auburn Headbanger,2,goldschlager,1 oz,other
Autodafé,1,vodka,4 cl,vodka
Autodafé,2,lime juice,1 dash,juice
Autodafé,3,soda water,"
",other
Avalanche,1,crown royal,1 shot,other
Avalanche,2,kahlua,1 shot,other
Avalanche,3,cream,Fill with,cream
Avalon,1,vodka,3 parts,vodka
Avalon,2,pisang ambon,1 part,other
Avalon,3,apple juice,6 parts,juice
Avalon,4,lemon juice,1 1/2 part,juice
Avalon,5,lemonade,"
",other
Aviation,1,gin,4.5 cl,other
Aviation,2,lemon juice,1.5 cl,juice
Aviation,3,maraschino liqueur,1.5 cl,liqueur
Aztec Punch,1,lemonade,1 can,other
Aztec Punch,2,vodka,5 oz,vodka
Aztec Punch,3,rum,7 oz,rum
Aztec Punch,4,ginger ale,About 1 bottle,other
B-52,1,irish cream,1/3,cream
B-52,2,grand marnier,1/3,other
B-52,3,kahlua,1/4,other
B-53,1,kahlua,1/3 shot,other
B-53,2,sambuca,1/3 shot,other
B-53,3,grand marnier,1/3 shot,other
Baby Eskimo,1,kahlua,2 oz,other
Baby Eskimo,2,milk,8 oz,other
Baby Eskimo,3,vanilla ice-cream,2 scoops,other
Baby Guinness,1,kahlua,2 1/2 oz,other
Baby Guinness,2,irish cream,1/2 oz,cream
Bacardi Cocktail,1,light rum,1 3/4 oz Bacardi,rum
Bacardi Cocktail,2,lime juice,1 oz,juice
Bacardi Cocktail,3,sugar syrup,1/2 tsp,syrup
Bacardi Cocktail,4,grenadine,1 dash,other
Bailey's Dream Shake,1,irish cream,2 oz,cream
Bailey's Dream Shake,2,vanilla ice-cream,2 scoops,other
Bailey's Dream Shake,3,cream,"
",cream
Balmoral,1,scotch,1 1/2 oz,other
Balmoral,2,sweet vermouth,1/2 oz,other
Balmoral,3,dry vermouth,1/2 oz,other
Balmoral,4,bitters,2 dashes,other
Banana Cantaloupe Smoothie,1,cantaloupe,Juice of 1/2,other
Banana Cantaloupe Smoothie,2,banana,1,other
Banana Daiquiri,1,light rum,1 1/2 oz,rum
Banana Daiquiri,2,triple sec,1 tblsp,other
Banana Daiquiri,3,banana,1,other
Banana Daiquiri,4,lime juice,1 1/2 oz,juice
Banana Daiquiri,5,sugar,1 tsp,other
Banana Daiquiri,6,cherry,1,other
Banana Milk Shake,1,milk,10 cl cold,other
Banana Milk Shake,2,orange juice,4 cl,juice
Banana Milk Shake,3,sugar syrup,2 tsp,syrup
Banana Milk Shake,4,banana,1/2,other
Banana Strawberry Shake,1,strawberries,1/2 lb frozen,other
Banana Strawberry Shake,2,banana,1 frozen,other
Banana Strawberry Shake,3,yoghurt,1 cup plain,other
Banana Strawberry Shake,4,milk,1 cup,other
Banana Strawberry Shake,5,honey,"to taste
",other
Banana Strawberry Shake Daiquiri-type,1,strawberries,1/2 lb frozen,other
Banana Strawberry Shake Daiquiri-type,2,banana,1 frozen,other
Banana Strawberry Shake Daiquiri-type,3,apple juice,2 cups fresh,juice
Barracuda,1,rum,4.5 cl,rum
Barracuda,2,galliano,1.5 cl,other
Barracuda,3,pineapple juice,6 cl,juice
Barracuda,4,lime juice,1 dash,juice
Barracuda,5,prosecco,top up,other
Belgian Blue,1,vodka,2 cl,vodka
Belgian Blue,2,coconut liqueur,1 cl,liqueur
Belgian Blue,3,blue curacao,1 cl,other
Belgian Blue,4,sprite,Fill with,other
Bellini,1,champagne,6 oz,other
Bellini,2,peach schnapps,1 oz,schnapps
Bellini Martini,1,ice,8 cubes,other
Bellini Martini,2,vodka,3 oz,vodka
Bellini Martini,3,peach nectar,1.5 oz,other
Bellini Martini,4,peach schnapps,1.5 oz,schnapps
Bellini Martini,5,lemon peel,1,other
Bermuda Highball,1,brandy,3/4 oz,brandy
Bermuda Highball,2,gin,3/4 oz,other
Bermuda Highball,3,dry vermouth,3/4 oz,other
Bermuda Highball,4,carbonated water,"
",other
Bermuda Highball,5,lemon peel,"
",other
Berry Deadly,1,everclear,2 pint,other
Berry Deadly,2,wine,1 bottle Boone Strawberry Hill,other
Berry Deadly,3,orange juice,1/2 gal,juice
Berry Deadly,4,kool-aid,1 gal Tropical Berry,other
Between The Sheets,1,brandy,1 oz,brandy
Between The Sheets,2,light rum,1 oz,rum
Between The Sheets,3,triple sec,1 oz,other
Between The Sheets,4,lemon juice,1 oz,juice
Bible Belt,1,southern comfort,2 oz,other
Bible Belt,2,triple sec,1/2 oz,other
Bible Belt,3,lime,2 wedges,other
Bible Belt,4,sour mix,2 oz,other
Big Red,1,irish cream,1/2 oz,cream
Big Red,2,goldschlager,1/2 oz,other
Black & Tan,1,ale,1 part Bass pale,other
Black & Tan,2,guinness stout,1 part,other
Black Forest Shake,1,ice,"cubes
",other
Black Forest Shake,2,chocolate syrup,"
",syrup
Black Forest Shake,3,cherry brandy,"
",brandy
Black Forest Shake,4,vodka,"
",vodka
Black Forest Shake,5,milk,"
",other
Black Russian,1,coffee liqueur,3/4 oz,liqueur
Black Russian,2,vodka,1 1/2 oz,vodka
Black and Brown,1,guinness stout,1/2,other
Black and Brown,2,root beer,1/2,other
Blackthorn,1,sweet vermouth,1 oz,other
Blackthorn,2,sloe gin,1 1/2 oz,other
Blackthorn,3,lemon peel,1 twist of,other
Bleeding Surgeon,1,dark rum,1 shot,rum
Bleeding Surgeon,2,orange,1 slice,other
Bleeding Surgeon,3,surge,1/2 glass,other
Bleeding Surgeon,4,cranberry juice,1/2 glass,juice
Blind Russian,1,irish cream,3/4 oz,cream
Blind Russian,2,godiva liqueur,3/4 oz,liqueur
Blind Russian,3,kahlua,3/4 oz,other
Blind Russian,4,butterscotch schnapps,1/2 oz,schnapps
Blind Russian,5,milk,"to fill
",other
Bloody Maria,1,tequila,1 oz,other
Bloody Maria,2,tomato juice,2 oz,juice
Bloody Maria,3,lemon juice,1 dash,juice
Bloody Maria,4,tabasco sauce,1 dash,other
Bloody Maria,5,celery salt,1 dash,other
Bloody Maria,6,lemon,1 slice,other
Bloody Mary,1,vodka,1 1/2 oz,vodka
Bloody Mary,2,tomato juice,3 oz,juice
Bloody Mary,3,lemon juice,1 dash,juice
Bloody Mary,4,worcestershire sauce,1/2 tsp,other
