i,ingredient,drink,performance
236,lime peel,Rum Old-fashioned,505
237,maple syrup,Van Vleet,506
238,maui,Arctic Mouthwash,507
239,mint syrup,Just a Moonmint,508
240,olive brine,Dirty Martini,509
241,oreo cookie,Oreo Mudslide,510
242,passion fruit syrup,Atlantic Sun,511
243,peach bitters,Derby,512
244,peach brandy,Irish Spring,513
245,peppermint schnapps,After Five,514
246,pink lemonade,Pink Panty Pulldowns,515
247,raspberry syrup,Quaker's Cocktail,516
248,raspberry vodka,Raspberry Cooler,517
249,rumple minze,24k nightmare,518
250,rye whiskey,Artillery Punch,519
251,sarsaparilla,Flander's Flake-Out,520
252,sirup of roses,Gagliardo,521
253,tennessee whiskey,Jack's Vanilla Coke,522
254,tropicana,Malibu Twister,523
255,vanilla vodka,50/50,524
256,Whiskey,H.D.,525
257,worcestershire sauce,Bloody Mary,526
258,yukon jack,Texas Rattlesnake,527
259,half-and-half,NA,NA
260,coconut syrup,Irish Cream,528
261,limeade,Vodka Fizz,529
262,strawberry liqueur,NA,NA
263,kirschwasser,A midsummernight dream,530
264,orange curacao,9 1/2 Weeks,531
265,food coloring,NA,NA
266,peppermint extract,Creme de Menthe,532
267,angelica root,NA,NA
268,fennel seeds,Scottish Highland Liqueur,533
269,absolut peppar,NA,NA
270,firewater,Fahrenheit 5000,534
271,apfelkorn,NA,NA
272,cranberry vodka,Kiss me Quick,535
273,apricot,NA,NA
274,glycerine,Amaretto Liqueur,536
275,butter,NA,NA
276,marshmallows,Hot Chocolate to Die for,537
277,candy,NA,NA
278,grape soda,Arctic Fish,538
279,coffee brandy,NA,NA
280,lime vodka,Queen Bee,539
281,daiquiri mix,NA,NA
282,pina colada mix,Miami Vice,540
283,kiwi,NA,NA
284,papaya,Kiwi Papaya Smoothie,541
285,peychaud bitters,NA,NA
286,ricard,Sazerac,542
287,anise,NA,NA
288,almond,NA,NA
289,marjoram leaves,Angelica Liqueur,543
290,licorice root,NA,NA
291,wormwood,Absinthe #2,544
292,caramel sauce,NA,NA
293,chocolate sauce,NA,NA
294,mini-snickers bars,Boozy Snickers Milkshake,545
295,lavender,NA,NA
296,pepper,NA,NA
297,pineapple syrup,NA,NA
298,st. germain,Duchamp's Punch,546
